PLANT LEAF IMAGE,PLANT NAME,PLANT DISEASED/NOT,PLANT DISEASE NAME,UNNAMED: 4,UNNAMED: 5,UNNAMED: 6,UNNAMED: 7,UNNAMED: 8,IMAGE_PATH,SOURCE_FILE,PLANT DISEASED/ NOT
,Apple,YES,scab,,,,,,leaf_images\Plant_row2.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row3.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row4.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row5.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row6.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row7.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row8.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row9.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row10.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row11.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row12.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row13.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row14.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row16.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row17.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row18.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row19.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row21.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row22.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row23.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row24.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row26.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row27.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row28.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row29.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row31.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row32.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row33.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row34.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row36.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row37.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row38.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row39.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row41.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row42.jpg,Plant.xlsx,
,Apple,YES,scab,,,,,,leaf_images\Plant_row43.jpg,Plant.xlsx,
